"source","category","menu","route_or_key","parent_menu","note"
"legacy","การผลิต","WIP คงเหลือ","wipReport","",""
"legacy","การผลิต","รายงานการผลิต / Yield","productionReport","",""
"legacy","การผลิต","Yield/Loss + Abnormal","yieldLossReport","",""
"legacy","Dual Costing (จองดีล)","PO Buy (จองซื้อ)","poBuy","",""
"legacy","Dual Costing (จองดีล)","PO Sell (จองขาย)","poSell","",""
"legacy","Dual Costing (จองดีล)","Cost Pool","costPool","",""
"legacy","Dual Costing (จองดีล)","Cost Allocator (ทอง/เหลือง)","costAllocator","",""
"legacy","Dual Costing (จองดีล)","Waiting Allocations","waitingAllocations","",""
"legacy","Dual Costing (จองดีล)","Grade Adjustment / ปรับเกรด","gradeAdjustment","",""
"legacy","Dual Costing (จองดีล)","Allocation Ledger","costAllocationLedger","",""
"legacy","Dual Costing (จองดีล)","Deal Margin Report","dealMargin","",""
"legacy","การเงิน & หนี้","ลูกหนี้ (AR)","ar","",""
"legacy","การเงิน & หนี้","เจ้าหนี้ (AP)","ap","",""
"legacy","การเงิน & หนี้","Cash / Bank Statement","bank","",""
"legacy","การเงิน & หนี้","Cash Position","cashPosition","",""
"legacy","การเงิน & หนี้","จ่ายล่วงหน้า Supplier","supplierAdvance","",""
"legacy","การเงิน & หนี้","รับล่วงหน้าจาก Customer","customerAdvance","",""
"legacy","การเงินต่างประเทศ","โอนเงินต่างประเทศ","intlTransfer","",""
"legacy","การเงินต่างประเทศ","รับเงินจากต่างประเทศ","overseasReceipt","",""
"legacy","การเงินต่างประเทศ","FX Rate Management","fxRate","",""
"legacy","การเงินต่างประเทศ","FCD Ledger","fcdLedger","",""
"legacy","การเงินต่างประเทศ","FX Gain/Loss Report","fxGainLossReport","",""
"legacy","การเงินต่างประเทศ","Bank Reconciliation","bankRecon","",""
"legacy","สินค้า","สต๊อกคงเหลือ","stockBalance","",""
"legacy","สินค้า","Stock Ledger","stockLedger","",""
"legacy","สินค้า","ปรับสถานะสินค้า (RM→FG)","statusConvert","",""
"legacy","สินค้า","Grade Adjustment / ปรับเกรด","gradeAdjustment","",""
"legacy","สินค้า","นับสต๊อก / Stock Count Adjust","stockAdjust","",""
"legacy","สินค้า","Customer Return / ของคืน","customerReturn","",""
"legacy","Trading / ซื้อมาขายไป","Trading Dashboard","tradingDashboard","",""
"legacy","Trading / ซื้อมาขายไป","Trading Matching / จับคู่ดีล","tradingMatching","",""
"legacy","PO Reports","PO ซื้อ/ขาย คงเหลือ","poOutstanding","",""
"legacy","รายงาน","รายงานทั้งหมด","reports","",""
"legacy","Finance / Accounting","Financial Dashboard","finDashboard","",""
"legacy","Finance / Accounting","Owner Daily Control","ownerDaily","",""
"legacy","Finance / Accounting","Cash Flow Analysis","cashFlowAnalysis","",""
"legacy","Finance / Accounting","CF Forecast Calendar","cashFlowForecast","",""
"legacy","Finance / Accounting","Working Capital Analysis","workingCapital","",""
"legacy","Finance / Accounting","Stock Finance Analysis","stockFinance","",""
"legacy","Finance / Accounting","Profit Leak Dashboard","profitLeak","",""
"legacy","Finance / Accounting","Tax / VAT / WHT","taxVAT","",""
"legacy","Finance / Accounting","งบกำไรขาดทุน (P&L)","plStatement","",""
"legacy","Finance / Accounting","งบดุล (Balance Sheet)","balanceSheet","",""
"legacy","Finance / Accounting","งบกระแสเงินสด","cashFlowStatement","",""
"legacy","Finance / Accounting","Fixed Assets / ทรัพย์สิน","assetRegister","",""
"legacy","Finance / Accounting","ค่าเสื่อมราคา","depreciation","",""
"legacy","Finance / Accounting","จำหน่ายทรัพย์สิน","assetDisposal","",""
"legacy","Finance / Accounting","Loan / Leasing / BSL","loanContracts","",""
"legacy","Finance / Accounting","Loan Dashboard","loanDashboard","",""
"legacy","Finance / Accounting","Net Worth / Track Asset","trackAssetOverview","",""
"legacy","Finance / Accounting","Equity / ทุนจดทะเบียน","equityMaint","",""
"legacy","Finance / Accounting","Opening Balance / ตั้งต้นยอด","openingBalance","",""
"legacy","Finance / Accounting","ข้อมูลย้อนหลัง ม.ค.-เม.ย. 2026 (ก่อน Go-Live)","historicalData","",""
"legacy","ข้อมูลหลัก","ลูกค้า","mdCustomer","",""
"legacy","ข้อมูลหลัก","พนักงานขาย (Sales)","mdSalesperson","",""
"legacy","ข้อมูลหลัก","ผู้ขาย","mdSupplier","",""
"legacy","ข้อมูลหลัก","สินค้า","mdProduct","",""
"legacy","ข้อมูลหลัก","สาขา / คลัง","mdBranch","",""
"legacy","ข้อมูลหลัก","บัญชีเงิน","mdAccount","",""
"legacy","ข้อมูลหลัก","ช่องทางซื้อ/ขาย","mdChannel","",""
"legacy","ข้อมูลหลัก","หมวดค่าใช้จ่าย","mdExpense","",""
"legacy","ข้อมูลหลัก","กรรมการ/พนักงาน","mdDirector","",""
"legacy","ข้อมูลหลัก","เครื่องจักร","mdMachine","",""
"legacy","ข้อมูลหลัก","Production Line","mdProductionLine","",""
"legacy","ข้อมูลหลัก","สกุลเงิน","mdCurrency","",""
"legacy","ข้อมูลหลัก","ผู้รับเงินต่างประเทศ","mdBeneficiary","",""
"legacy","ข้อมูลหลัก","วิธีจ่าย/รับเงิน","mdPaymentMethod","",""
"legacy","ข้อมูลหลัก","วัตถุประสงค์โอน","mdRemittancePurpose","",""
"legacy","ข้อมูลหลัก","Import Master จาก Excel","mdImport","",""
"legacy","ข้อมูลหลัก","Import บิลซื้อ/บิลขาย","importTxn","",""
"legacy","ระบบ","ข้อมูลบริษัท (สำหรับใบพิมพ์)","companyProfile","",""
"legacy","ระบบ","เปลี่ยน Password ของฉัน","changePassword","",""
"legacy","ระบบ","Transaction Ledger (เช็คเงินเข้า-ออก)","transactionLedger","",""
"legacy","ระบบ","Backup / Restore (สำคัญ)","backup","",""
"legacy","ระบบ","Audit Log","audit","",""
"legacy","ระบบ","Users & Permissions","userPermission","",""
"legacy","ระบบ","User Activity Log","userActivity","",""
